Title	Edition	Real Edition
A Minor Emergency	GURPS	3
AADA Road Atlas V1: The East Coast	GURPS	3
AADA Road Atlas V2: The West Coast	GURPS	3
AADA Road Atlas V3: The South	GURPS	3
AADA Road Atlas V4: Australia	GURPS	3
AADA Road Atlas V5: The Midwest	GURPS	3
AADA Road Atlas V6: The Free Oil States	GURPS	3
AADA Road Atlas V7: Mountain West	GURPS	3
Caravan to Ein Arris	GURPS	3
Caravan to Ein Arris Fourth Edition Update	GURPS 4e	4
Clockwork Cat	GURPS	3
Discworld Roleplaying Game	GURPS 4e	4
Dungeon Fantasy Companion	GURPS 4e	4
Dungeon Fantasy Magic Items	GURPS 4e	4
Dungeon Fantasy Monsters 2	GURPS 4e	4
Dungeon Fantasy Roleplaying Game	GURPS 4e	4
Dungeon Fantasy Traps	GURPS 4e	4
Dungeon Fantasy: Against the Rat-Men	GURPS 4e	4
Fantastic Dungeon Grappling	GURPS 4e	4
Fighters of the Purple Rage	GURPS	3
Flare Star	GURPS Traveller	3
Grendel	GURPS	3
GURPS Aces Abroad	GURPS	3
GURPS Action 1: Heroes	GURPS 4e	4
GURPS Action 2: Exploits	GURPS 4e	4
GURPS Action 3: Furious Fists	GURPS 4e	4
GURPS Action 4: Specialists	GURPS 4e	4
GURPS Action 5: Dictionary of Danger	GURPS 4e	4
GURPS Adaptations	GURPS 4e	4
GURPS After the End 1: Wastelanders	GURPS 4e	4
GURPS After the End 2: The New World	GURPS 4e	4
GURPS Age of Napoleon	GURPS	3
GURPS Aliens	GURPS	3
GURPS Aliens: Sparrials	GURPS 4e	4
GURPS All-Star Jam 2004	GURPS	3
GURPS Alpha Centauri	GURPS	3
GURPS Alphabet Arcane	GURPS 4e	4
GURPS Alphabet Arcane: Lost Serifs	GURPS 4e	4
GURPS Alternate Earths	GURPS	3
GURPS Alternate Earths 2	GURPS	3
GURPS Arabian Nights	GURPS	3
GURPS Atlantis	GURPS	3
GURPS Atlantis LEH	GURPS	3
GURPS Atomic Horror	GURPS	3
GURPS Autoduel	GURPS	3
GURPS Aztecs	GURPS	3
GURPS Banestorm	GURPS 4e	4
GURPS Banestorm: Abydos	GURPS 4e	4
GURPS Basic Set	GURPS	3
"GURPS Basic Set, Third Edition, Revised"	GURPS	3
GURPS Basic Set: Campaigns	GURPS 4e	4
GURPS Basic Set: Characters	GURPS 4e	4
GURPS Basic Set: Characters and Campaigns	GURPS 4e	4
GURPS Best of Pyramid 1	GURPS	3
GURPS Best of Pyramid 2	GURPS	3
GURPS Bestiary	GURPS	3
GURPS Big Lizzie	GURPS 4e	4
GURPS Bio-Tech	GURPS 4e	4
GURPS Bio-Tech	GURPS	3
GURPS Black Ops	GURPS	3
GURPS Blood Types	GURPS	3
GURPS Blue Planet	GURPS	3
GURPS Boardroom and Curia	GURPS 4e	4
GURPS Bunnies & Burrows	GURPS	3
GURPS Cabal	GURPS	3
GURPS Callahan's Crosstime Saloon	GURPS	3
GURPS Camelot	GURPS	3
GURPS Car Warriors	GURPS	3
GURPS Casey & Andy	GURPS 4e	4
GURPS Castle Falkenstein	GURPS	3
GURPS Castle Falkenstein: The Ottoman Empire	GURPS	3
GURPS Celtic Myth	GURPS	3
GURPS Chaos in Kansas	GURPS	3
GURPS Character Assistant	GURPS 4e	4
GURPS China	GURPS	3
GURPS City Stats	GURPS 4e	4
GURPS Cliffhangers	GURPS	3
GURPS Compendium I	GURPS	3
GURPS Compendium II	GURPS	3
GURPS Conan	GURPS	3
GURPS Conan and the Queen of the Black Coast	GURPS	3
GURPS Conan Beyond Thunder River	GURPS	3
GURPS Conan the Wyrmslayer	GURPS	3
GURPS Conan: Moon of Blood	GURPS	3
GURPS Cops	GURPS	3
GURPS Covert Ops	GURPS	3
GURPS Creatures of the Night	GURPS	3
"GURPS Creatures of the Night, Vol. 1"	GURPS 4e	4
"GURPS Creatures of the Night, Vol. 2"	GURPS 4e	4
"GURPS Creatures of the Night, Vol. 3"	GURPS 4e	4
"GURPS Creatures of the Night, Vol. 4"	GURPS 4e	4
"GURPS Creatures of the Night, Vol. 5"	GURPS 4e	4
GURPS Crusades	GURPS 4e	4
GURPS CthulhuPunk	GURPS	3
GURPS Cyberpunk Adventures	GURPS	3
GURPS Cyberworld	GURPS	3
GURPS Deadlands Dime Novel 1 – Aces and Eights	GURPS	3
GURPS Deadlands Dime Novel 2 – Wanted: Undead or Alive	GURPS	3
GURPS Deadlands: Hexes	GURPS	3
GURPS Deadlands: Varmints	GURPS	3
GURPS Deadlands: Weird West	GURPS	3
GURPS Deathwish	GURPS	3
GURPS Dinosaurs	GURPS	3
GURPS Disasters: Meltdown and Fallout	GURPS 4e	4
GURPS Discworld	GURPS	3
GURPS Discworld Also	GURPS	3
GURPS Dragons	GURPS	3
GURPS Dungeon Fantasy 1: Adventurers	GURPS 4e	4
GURPS Dungeon Fantasy 10: Taverns	GURPS 4e	4
GURPS Dungeon Fantasy 11: Power-Ups	GURPS 4e	4
GURPS Dungeon Fantasy 12: Ninja	GURPS 4e	4
GURPS Dungeon Fantasy 13: Loadouts	GURPS 4e	4
GURPS Dungeon Fantasy 14: Psi	GURPS 4e	4
GURPS Dungeon Fantasy 15: Henchmen	GURPS 4e	4
GURPS Dungeon Fantasy 16: Wilderness Adventures	GURPS 4e	4
GURPS Dungeon Fantasy 17: Guilds	GURPS 4e	4
GURPS Dungeon Fantasy 18: Power Items	GURPS 4e	4
GURPS Dungeon Fantasy 19: Incantation Magic	GURPS 4e	4
GURPS Dungeon Fantasy 2: Dungeons	GURPS 4e	4
GURPS Dungeon Fantasy 20: Slayers	GURPS 4e	4
GURPS Dungeon Fantasy 3: The Next Level	GURPS 4e	4
GURPS Dungeon Fantasy 4: Sages	GURPS 4e	4
GURPS Dungeon Fantasy 5: Allies	GURPS 4e	4
GURPS Dungeon Fantasy 6: 40 Artifacts	GURPS 4e	4
GURPS Dungeon Fantasy 7: Clerics	GURPS 4e	4
GURPS Dungeon Fantasy 8: Treasure Tables	GURPS 4e	4
GURPS Dungeon Fantasy 9: Summoners	GURPS 4e	4
GURPS Dungeon Fantasy Adventure 1: Mirror of the Fire Demon	GURPS 4e	4
GURPS Dungeon Fantasy Adventure 2: Tomb of the Dragon King	GURPS 4e	4
GURPS Dungeon Fantasy Denizens: Barbarians	GURPS 4e	4
GURPS Dungeon Fantasy Denizens: Swashbucklers	GURPS 4e	4
GURPS Dungeon Fantasy Encounters 1: The Pagoda of Worlds	GURPS 4e	4
GURPS Dungeon Fantasy Monsters 1	GURPS 4e	4
GURPS Dungeon Fantasy Monsters 2: Icky Goo	GURPS 4e	4
GURPS Dungeon Fantasy Monsters 3: Born of Myth & Magic	GURPS 4e	4
GURPS Dungeon Fantasy Monsters 4: Dragons	GURPS 4e	4
GURPS Dungeon Fantasy Setting: Caverntown	GURPS 4e	4
GURPS Dungeon Fantasy Treasures 1: Glittering Prizes	GURPS 4e	4
GURPS Dungeon Fantasy Treasures 2: Epic Treasures	GURPS 4e	4
GURPS Dungeon Fantasy Treasures 3: Artifacts of Felltower	GURPS 4e	4
GURPS Egypt	GURPS	3
GURPS Encounters: The Harrowed Hearts Club	GURPS 4e	4
GURPS Faerie	GURPS	3
GURPS Fantasy	GURPS 4e	4
GURPS Fantasy Adventures	GURPS	3
GURPS Fantasy Bestiary	GURPS	3
GURPS Fantasy Folk	GURPS	3
GURPS Fantasy II – The Mad Lands	GURPS	3
GURPS Fantasy: Portal Realms	GURPS 4e	4
GURPS Fantasy-Tech 1: The Edge of Reality	GURPS 4e	4
GURPS Fantasy-Tech 2: Weapons of Fantasy	GURPS 4e	4
GURPS Flight 13	GURPS	3
GURPS For Love of Mother-Not	GURPS	3
GURPS Goblins	GURPS	3
GURPS Greece	GURPS	3
GURPS Grimoire	GURPS	3
GURPS Gun Fu	GURPS 4e	4
GURPS Harkwood	GURPS	3
GURPS High-Tech	GURPS 4e	4
"GURPS High-Tech (3rd Edition, 2nd printing)"	GURPS	3
"GURPS High-Tech (4th Edition, 1st printing)"	GURPS 4e	4
GURPS High-Tech: Adventure Guns	GURPS 4e	4
"GURPS High-Tech: Pulp Guns, Volume 1"	GURPS 4e	4
"GURPS High-Tech: Pulp Guns, Volume 2"	GURPS 4e	4
GURPS Horror	GURPS 4e	4
GURPS Horror: The Madness Dossier	GURPS 4e	4
GURPS Horseclans	GURPS	3
"GURPS Hot Spots: Constantinople, 527-1204 A.D."	GURPS 4e	4
GURPS Hot Spots: Renaissance Florence	GURPS 4e	4
GURPS Hot Spots: Renaissance Venice	GURPS 4e	4
GURPS Hot Spots: The Silk Road	GURPS 4e	4
GURPS Humanx	GURPS	3
GURPS Ice Age	GURPS	3
GURPS Illuminati	GURPS	3
GURPS Imperial Rome	GURPS	3
GURPS In Nomine	GURPS	3
GURPS Infinite Worlds	GURPS 4e	4
GURPS Infinite Worlds: Britannica-6	GURPS 4e	4
GURPS Infinite Worlds: Collegio Januari	GURPS 4e	4
GURPS Infinite Worlds: I.S.T.	GURPS 4e	4
GURPS Infinite Worlds: Lost Worlds	GURPS 4e	4
GURPS Infinite Worlds: Worlds of Horror	GURPS 4e	4
GURPS International Super Teams	GURPS	3
GURPS IOU	GURPS	3
GURPS IST Kingston	GURPS	3
GURPS Japan	GURPS	3
GURPS Lair of the Fat Man	GURPS 4e	4
GURPS Lands Out of Time	GURPS 4e	4
GURPS Lensman	GURPS	3
GURPS Lite	GURPS	3
GURPS Lite (Third Edition)	GURPS	3
GURPS Loadouts: Low-Tech Armor	GURPS 4e	4
GURPS Loadouts: Monster Hunters	GURPS 4e	4
GURPS Locations: Hellsgate	GURPS 4e	4
GURPS Locations: Metro of Madness	GURPS 4e	4
GURPS Locations: St. George's Cathedral	GURPS 4e	4
GURPS Locations: The Tower of Octavius	GURPS 4e	4
GURPS Locations: Worminghall	GURPS 4e	4
GURPS Low-Tech	GURPS 4e	4
GURPS Low-Tech (2nd Printing)	GURPS	3
GURPS Low-Tech Companion 1: Philosophers and Kings	GURPS 4e	4
GURPS Low-Tech Companion 2: Weapons and Warriors	GURPS 4e	4
GURPS Low-Tech Companion 3: Daily Life and Economics	GURPS 4e	4
GURPS Low-Tech: Instant Armor	GURPS 4e	4
GURPS MacGuffin Alphabet	GURPS 4e	4
GURPS Mage: The Ascension	GURPS	3
GURPS Magic	GURPS 4e	4
GURPS Magic Items 1	GURPS	3
GURPS Magic Items 2	GURPS	3
GURPS Magic Items 3	GURPS	3
GURPS Magic: Artillery Spells	GURPS 4e	4
GURPS Magic: Death Spells	GURPS 4e	4
GURPS Magic: Plant Spells	GURPS 4e	4
GURPS Magical Styles: Dungeon Magic	GURPS 4e	4
GURPS Mars	GURPS	3
GURPS Mars Attacks	GURPS 4e	4
GURPS Martial Arts	GURPS 4e	4
GURPS Martial Arts Adventures	GURPS	3
GURPS Martial Arts: Fairbairn Close Combat Systems	GURPS 4e	4
GURPS Martial Arts: Gladiators	GURPS 4e	4
GURPS Martial Arts: Technical Grappling	GURPS 4e	4
GURPS Martial Arts: Yrth Fighting Styles	GURPS 4e	4
GURPS Mass Combat	GURPS 4e	4
GURPS Mecha	GURPS	3
GURPS Middle Ages 1	GURPS	3
GURPS Mixed Doubles	GURPS	3
GURPS Modern Firepower	GURPS	3
